plot,disturbance,season,year,common_name,scientific_name,family,order
F3-05,post-disturbance,pre-winter,2022-2023,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Dicaeidae,Passeriformes
F3-06,post-disturbance,pre-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F3-06,post-disturbance,pre-winter,2022-2023,Blue Whistling-Thrush,Myophonus caeruleus,Muscicapidae,Passeriformes
F3-06,post-disturbance,pre-winter,2022-2023,Common Green-Magpie,Cissa chinensis,Corvidae,Passeriformes
F3-06,post-disturbance,pre-winter,2022-2023,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes
F3-06,post-disturbance,pre-winter,2022-2023,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes
F3-06,post-disturbance,pre-winter,2022-2023,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Dicaeidae,Passeriformes
F3-06,post-disturbance,pre-winter,2022-2023,White-bellied Erpornis,Erpornis zantholeuca,Vireonidae,Passeriformes
F3-06,post-disturbance,pre-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F1-05,post-disturbance,pre-winter,2022-2023,Ashy Drongo,Dicrurus leucophaeus,Dicruridae,Passeriformes
F1-05,post-disturbance,pre-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F4-05,post-disturbance,pre-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F1-05,post-disturbance,pre-winter,2022-2023,Bay Woodpecker,Blythipicus pyrrhotis,Picidae,Piciformes
F1-05,post-disturbance,pre-winter,2022-2023,Black-crowned Scimitar-Babbler,Pomatorhinus ferruginosus,Timaliidae,Passeriformes
F4-05,post-disturbance,pre-winter,2022-2023,Black-eared Shrike-Babbler,Pteruthius melanotis,Vireonidae,Passeriformes
F1-05,post-disturbance,pre-winter,2022-2023,Black-throated Sunbird,Aethopyga saturata,Nectariniidae,Passeriformes
F1-05,post-disturbance,pre-winter,2022-2023,Great Barbet,Psilopogon virens,Megalaimidae,Piciformes
F1-05,post-disturbance,pre-winter,2022-2023,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes
F1-05,post-disturbance,pre-winter,2022-2023,Mountain Bulbul,Ixos mcclellandii,Pycnonotidae,Passeriformes
F1-05,post-disturbance,pre-winter,2022-2023,Mountain Tailorbird,Phyllergates cucullatus,Scotocercidae,Passeriformes
F1-05,post-disturbance,pre-winter,2022-2023,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes
F4-05,post-disturbance,pre-winter,2022-2023,Pygmy Cupwing,Pnoepyga pusilla,Pnoepygidae,Passeriformes
F1-05,post-disturbance,pre-winter,2022-2023,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Dicaeidae,Passeriformes
F4-05,post-disturbance,pre-winter,2022-2023,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes
F4-05,post-disturbance,pre-winter,2022-2023,Whiskered Yuhina,Yuhina flavicollis,Zosteropidae,Passeriformes
F1-05,post-disturbance,pre-winter,2022-2023,White-crested Laughingthrush,Garrulax leucolophus,Leiothrichidae,Passeriformes
F4-05,post-disturbance,pre-winter,2022-2023,White-crested Laughingthrush,Garrulax leucolophus,Leiothrichidae,Passeriformes
F1-05,post-disturbance,pre-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F4-05,post-disturbance,pre-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,Grey-throated Babbler,Stachyris nigriceps,Timaliidae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopidae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,Nepal Fulvetta,Alcippe nipalensis,Leiotrichidae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,Pygmy Cupwing,Pnoepyga pusilla,Pnoepygidae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,Scaly-breasted Cupwing,Pnoepyga albiventer,Pnoepygidae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,Striated Laughingthrush,Grammatoptila striata,Leiothrichidae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,White-crested Laughingthrush,Garrulax leucolophus,Leiothrichidae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,White-gorgeted Flycatcher,Anthipes monileger,Muscicapidae,Passeriformes
F2-05,post-disturbance,pre-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F5-05,post-disturbance,pre-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F5-05,post-disturbance,pre-winter,2022-2023,Black Bulbul,Hypsipetes leucocephalus,Pycnonotidae,Passeriformes
F5-05,post-disturbance,pre-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F5-05,post-disturbance,pre-winter,2022-2023,Large Niltava,Niltava grandis,Muscicapidae,Passeriformes
F5-05,post-disturbance,pre-winter,2022-2023,Pygmy Cupwing,Pnoepyga pusilla,Pnoepygidae,Passeriformes
F5-05,post-disturbance,pre-winter,2022-2023,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes
F5-05,post-disturbance,pre-winter,2022-2023,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes
F5-05,post-disturbance,pre-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F4-06,post-disturbance,pre-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Black-eared Shrike-Babbler,Pteruthius melanotis,Vireonidae,Passeriformes
F4-06,post-disturbance,pre-winter,2022-2023,Blue Whistling-Thrush,Myophonus caeruleus,Muscicapidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Brownish-flanked Bush Warbler,Horornis fortipes,Scotocercidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Common Green-Magpie,Cissa chinensis,Corvidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F4-06,post-disturbance,pre-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F4-06,post-disturbance,pre-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Green-tailed Sunbird,Aethopyga nipalensis,Nectariniidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes
F4-06,post-disturbance,pre-winter,2022-2023,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes
F4-06,post-disturbance,pre-winter,2022-2023,Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Nepal Fulvetta,Alcippe nipalensis,Leiotrichidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Red-tailed Minla,Minla ignotincta,Leiotrichidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Rufous-winged Fulvetta,Schoeniparus castaneceps,Pellorneidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Scaly-breasted Cupwing,Pnoepyga albiventer,Pnoepygidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Dicaeidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Sikkim Treecreeper,Certhia discolor,Certhiidae,Passeriformes
F4-06,post-disturbance,pre-winter,2022-2023,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes
F4-06,post-disturbance,pre-winter,2022-2023,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Striated Laughingthrush,Grammatoptila striata,Leiothrichidae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,White-throated Fantail,Rhipidura albicollis,Rhipiduridae,Passeriformes
F1-06,post-disturbance,pre-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F4-06,post-disturbance,pre-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Black Bulbul,Hypsipetes leucocephalus,Pycnonotidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Black-faced Laughingthrush,Trochalopteron affine,Leiotrichidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Golden Babbler,Cyanoderma chrysaeum,Timaliidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Grey-throated Babbler,Stachyris nigriceps,Timaliidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Himalayan Bluetail,Tarsiger rufilatus,Muscicapidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Nepal Fulvetta,Alcippe nipalensis,Leiotrichidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Scaly-breasted Cupwing,Pnoepyga albiventer,Pnoepygidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Dicaeidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Slaty-bellied Tesia,Tesia olivea,Scotocercidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,White-crested Laughingthrush,Garrulax leucolophus,Leiothrichidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,White-gorgeted Flycatcher,Anthipes monileger,Muscicapidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Yellow-bellied Warbler,Abroscopus superciliaris,Scotocercidae,Passeriformes
F2-06,post-disturbance,pre-winter,2022-2023,Yellow-vented Warbler,Phylloscopus cantator,Phylloscopidae,Passeriformes
F5-06,post-disturbance,pre-winter,2022-2023,Black Bulbul,Hypsipetes leucocephalus,Pycnonotidae,Passeriformes
F5-06,post-disturbance,pre-winter,2022-2023,Black-throated Sunbird,Aethopyga saturata,Nectariniidae,Passeriformes
F5-06,post-disturbance,pre-winter,2022-2023,Blue Whistling-Thrush,Myophonus caeruleus,Muscicapidae,Passeriformes
F5-06,post-disturbance,pre-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F5-06,post-disturbance,pre-winter,2022-2023,Green-tailed Sunbird,Aethopyga nipalensis,Nectariniidae,Passeriformes
F5-06,post-disturbance,pre-winter,2022-2023,Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopidae,Passeriformes
F5-06,post-disturbance,pre-winter,2022-2023,Lesser Racket-tailed Drongo,Dicrurus remifer,Dicruridae,Passeriformes
F5-06,post-disturbance,pre-winter,2022-2023,Pygmy Cupwing,Pnoepyga pusilla,Pnoepygidae,Passeriformes
F5-06,post-disturbance,pre-winter,2022-2023,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes
F5-06,post-disturbance,pre-winter,2022-2023,Streak-breasted Scimitar Babbler,Pomatorhinus ruficollis,Timaliidae,Passeriformes
F3-07,post-disturbance,post-winter,2022-2023,Ashy Drongo,Dicrurus leucophaeus,Dicruridae,Passeriformes
F3-07,post-disturbance,post-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F3-07,post-disturbance,post-winter,2022-2023,Grey-hooded Warbler,Phylloscopus xanthoschistos,Phylloscopidae,Passeriformes
F3-07,post-disturbance,post-winter,2022-2023,Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopidae,Passeriformes
F3-07,post-disturbance,post-winter,2022-2023,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes
F3-07,post-disturbance,post-winter,2022-2023,Red-tailed Minla,Minla ignotincta,Leiotrichidae,Passeriformes
F3-07,post-disturbance,post-winter,2022-2023,White-naped Yuhina,Yuhina bakeri,Zosteropidae,Passeriformes
F3-07,post-disturbance,post-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Bay Woodpecker,Blythipicus pyrrhotis,Picidae,Piciformes
F1-07,post-disturbance,post-winter,2022-2023,Black-throated Tit,Aegithalos concinnus,Aegithalidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Common Green-Magpie,Cissa chinensis,Corvidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Golden Babbler,Cyanoderma chrysaeum,Timaliidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Himalayan Bluetail,Tarsiger rufilatus,Muscicapidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Large Niltava,Niltava grandis,Muscicapidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Red-headed Trogon,Harpactes erythrocephalus,Trogonidae,Trogoniformes
F1-07,post-disturbance,post-winter,2022-2023,Rufous-faced Warbler,Abroscopus albogularis,Scotocercidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Striated Laughingthrush,Grammatoptila striata,Leiothrichidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,White-crested Laughingthrush,Garrulax leucolophus,Leiothrichidae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,White-throated Fantail,Rhipidura albicollis,Rhipiduridae,Passeriformes
F1-07,post-disturbance,post-winter,2022-2023,Yellow-cheeked Tit,Machlolophus spilonotus,Paridae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Ashy Drongo,Dicrurus leucophaeus,Dicruridae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Black-throated Tit,Aegithalos concinnus,Aegithalidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Green-tailed Sunbird,Aethopyga nipalensis,Nectariniidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Grey-hooded Warbler,Phylloscopus xanthoschistos,Phylloscopidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Large Niltava,Niltava grandis,Muscicapidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Pygmy Cupwing,Pnoepyga pusilla,Pnoepygidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Dicaeidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Spotted Elachura,Elachura formosa,Elachuridae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,White-naped Yuhina,Yuhina bakeri,Zosteropidae,Passeriformes
F5-07,post-disturbance,post-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Ashy Drongo,Dicrurus leucophaeus,Dicruridae,Passeriformes
F4-07,post-disturbance,post-winter,2022-2023,Ashy Drongo,Dicrurus leucophaeus,Dicruridae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F4-07,post-disturbance,post-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F4-07,post-disturbance,post-winter,2022-2023,Black Bulbul,Hypsipetes leucocephalus,Pycnonotidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Broad-billed Warbler,Tickellia hodgsoni,Scotocercidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F4-07,post-disturbance,post-winter,2022-2023,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes
F4-07,post-disturbance,post-winter,2022-2023,Himalayan Bluetail,Tarsiger rufilatus,Muscicapidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopidae,Passeriformes
F4-07,post-disturbance,post-winter,2022-2023,NA,NA,NA,NA
F4-07,post-disturbance,post-winter,2022-2023,Nepal Fulvetta,Alcippe nipalensis,Leiotrichidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Red-tailed Minla,Minla ignotincta,Leiotrichidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Rufous-faced Warbler,Abroscopus albogularis,Scotocercidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Dicaeidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Whiskered Yuhina,Yuhina flavicollis,Zosteropidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,White-bellied Erpornis,Erpornis zantholeuca,Vireonidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,White-gorgeted Flycatcher,Anthipes monileger,Muscicapidae,Passeriformes
F4-07,post-disturbance,post-winter,2022-2023,White-gorgeted Flycatcher,Anthipes monileger,Muscicapidae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,White-throated Fantail,Rhipidura albicollis,Rhipiduridae,Passeriformes
F2-07,post-disturbance,post-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F4-07,post-disturbance,post-winter,2022-2023,Yellow-bellied Warbler,Abroscopus superciliaris,Scotocercidae,Passeriformes
F3-08,post-disturbance,post-winter,2022-2023,Bar-winged Flycatcher-shrike,Hemipus picatus,Vangidae,Passeriformes
F3-08,post-disturbance,post-winter,2022-2023,Blue Whistling-Thrush,Myophonus caeruleus,Muscicapidae,Passeriformes
F3-08,post-disturbance,post-winter,2022-2023,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes
F3-08,post-disturbance,post-winter,2022-2023,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes
F3-08,post-disturbance,post-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F3-08,post-disturbance,post-winter,2022-2023,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes
F3-08,post-disturbance,post-winter,2022-2023,Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopidae,Passeriformes
F3-08,post-disturbance,post-winter,2022-2023,Mountain Bulbul,Ixos mcclellandii,Pycnonotidae,Passeriformes
F3-08,post-disturbance,post-winter,2022-2023,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes
F3-08,post-disturbance,post-winter,2022-2023,Red-headed Trogon,Harpactes erythrocephalus,Trogonidae,Trogoniformes
F3-08,post-disturbance,post-winter,2022-2023,Shikra,Accipiter badius,Accipitridae,Accipitriformes
F3-08,post-disturbance,post-winter,2022-2023,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes
F3-08,post-disturbance,post-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F3-08,post-disturbance,post-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Bay Woodpecker,Blythipicus pyrrhotis,Picidae,Piciformes
F1-08,post-disturbance,post-winter,2022-2023,Black-eared Shrike-Babbler,Pteruthius melanotis,Vireonidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Brownish-flanked Bush Warbler,Horornis fortipes,Scotocercidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Golden Babbler,Cyanoderma chrysaeum,Timaliidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Grey-chinned Minivet,Pericrocotus solaris,Campephagidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Nepal Fulvetta,Alcippe nipalensis,Leiotrichidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Speckled Wood-Pigeon,Columba hodgsonii,Columbidae,Columbiformes
F1-08,post-disturbance,post-winter,2022-2023,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Striated Laughingthrush,Grammatoptila striata,Leiothrichidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Whiskered Yuhina,Yuhina flavicollis,Zosteropidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,White-crested Laughingthrush,Garrulax leucolophus,Leiothrichidae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,White-throated Fantail,Rhipidura albicollis,Rhipiduridae,Passeriformes
F1-08,post-disturbance,post-winter,2022-2023,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Ashy Drongo,Dicrurus leucophaeus,Dicruridae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Black Bulbul,Hypsipetes leucocephalus,Pycnonotidae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum,Leiotrichidae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Golden Babbler,Cyanoderma chrysaeum,Timaliidae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Green-tailed Sunbird,Aethopyga nipalensis,Nectariniidae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Grey-throated Babbler,Stachyris nigriceps,Timaliidae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopidae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Nepal Fulvetta,Alcippe nipalensis,Leiotrichidae,Passeriformes
F2-08,post-disturbance,post-winter,2022-2023,Pygmy Cupwing,Pnoepyga pusilla,Pnoepygidae,Passeriformes
F4-08,post-disturbance,post-winter,2022-2023,Pygmy Cupwing,Pnoepyga pusilla,Pnoepygidae,Passeriformes
F4-08,post-disturbance,post-winter,2022-2023,Red-headed Trogon,Harpactes erythrocephalus,Trogonidae,Trogoniformes
F4-08,post-disturbance,post-winter,2022-2023,Rufous-winged Fulvetta,Schoeniparus castaneceps,Pellorneidae,Passeriformes
